City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Flinders,-34.5833,150.8552,53.38,78,100,3.0,AU,2022-08-21 19:10:46
102,Vao,-22.6667,167.4833,70.09,85,100,15.03,NC,2022-08-21 19:10:46
103,Mehamn,71.0357,27.8492,67.95,77,0,16.11,NO,2022-08-21 19:10:46
104,Tucurui,-3.7661,-49.6725,95.13,24,72,6.38,BR,2022-08-21 19:10:24
105,Tuatapere,-46.1333,167.6833,43.88,87,100,2.1,NZ,2022-08-21 19:10:47
106,Qom,34.6401,50.8764,85.51,12,98,10.54,IR,2022-08-21 19:09:17
107,Ust-Tsilma,65.441,52.1498,60.4,62,18,3.74,RU,2022-08-21 19:10:48
108,Bubaque,11.2833,-15.8333,80.49,76,100,8.21,GW,2022-08-21 19:10:48
109,Sayyan,15.1718,44.3244,61.54,76,40,6.35,YE,2022-08-21 19:10:48
110,Kodiak,57.79,-152.4072,53.11,100,100,14.97,US,2022-08-21 19:08:50
111,Provideniya,64.3833,-173.3,49.03,63,0,2.51,RU,2022-08-21 19:10:49
112,Karaton,-6.3424,106.1045,72.9,95,100,1.05,ID,2022-08-21 19:10:49
113,Butaritari,3.0707,172.7902,81.43,76,7,13.35,KI,2022-08-21 19:10:50
114,Synya,65.3718,58.0387,61.74,65,4,4.12,RU,2022-08-21 19:10:50
115,Boa Viagem,-5.1275,-39.7322,91.08,23,33,8.52,BR,2022-08-21 19:10:51
116,Upington,-28.4478,21.2561,58.44,21,0,6.42,ZA,2022-08-21 19:10:51
117,Anchorage,61.2181,-149.9003,58.64,92,100,4.61,US,2022-08-21 19:10:08
118,Hervey Bay,-25.2986,152.8535,62.33,78,62,10.16,AU,2022-08-21 19:10:52
119,Avera,33.194,-82.5271,85.55,52,100,9.1,US,2022-08-21 19:10:52
120,Quelimane,-17.8786,36.8883,70.77,67,41,10.98,MZ,2022-08-21 19:10:53
121,Yulara,-25.2406,130.9889,51.96,42,0,3.98,AU,2022-08-21 19:10:53
122,Kidodi,-7.6036,37.0044,75.4,55,92,4.9,TZ,2022-08-21 19:10:54
123,Nouadhibou,20.931,-17.0347,73.0,88,27,15.66,MR,2022-08-21 19:10:54
124,Bambous Virieux,-20.3428,57.7575,67.21,71,2,8.88,MU,2022-08-21 19:10:55
125,Voznesenye,61.0106,35.4781,65.44,61,17,8.43,RU,2022-08-21 19:10:55
126,Aklavik,68.2191,-135.0107,41.02,92,100,12.82,CA,2022-08-21 19:10:56
127,Kralendijk,12.15,-68.2667,89.58,62,40,11.5,BQ,2022-08-21 19:10:56
128,Oktyabrskiy,54.4815,53.471,70.63,60,100,5.14,RU,2022-08-21 19:10:57
129,Nara,34.6851,135.8049,79.5,73,6,3.67,JP,2022-08-21 19:10:57
130,Pizarro,4.9533,-77.366,80.35,80,97,8.77,CO,2022-08-21 19:10:57
131,Kimamba,-6.7833,37.1333,76.08,52,94,7.43,TZ,2022-08-21 19:09:17
132,Kayerkan,69.3497,87.7602,39.52,100,98,7.63,RU,2022-08-21 19:10:58
133,Sitka,57.0531,-135.33,57.09,94,100,0.0,US,2022-08-21 19:08:51
134,Kiama,-34.6833,150.8667,53.58,75,100,5.01,AU,2022-08-21 19:10:59
135,Saint George,37.1041,-113.5841,91.44,40,0,4.0,US,2022-08-21 19:10:59
136,Tazovskiy,67.4667,78.7,42.33,83,100,1.48,RU,2022-08-21 19:12:00
137,Salalah,17.0151,54.0924,75.29,100,100,5.75,OM,2022-08-21 19:08:55
138,Saint-Pierre,-21.3393,55.4781,69.48,64,0,4.61,RE,2022-08-21 19:12:00
139,Merrill,45.1805,-89.6835,79.59,53,40,6.91,US,2022-08-21 19:12:01
140,Qasigiannguit,68.8193,-51.1922,39.45,80,90,3.09,GL,2022-08-21 19:12:01
141,Codrington,-38.2667,141.9667,52.59,77,100,18.12,AU,2022-08-21 19:12:02
142,Burshtyn,49.2587,24.6278,72.21,57,100,8.08,UA,2022-08-21 19:12:02
143,Faya,18.3851,42.4509,63.12,81,99,6.62,SA,2022-08-21 19:12:03
144,East London,-33.0153,27.9116,58.95,59,0,7.65,ZA,2022-08-21 19:12:03
145,Tutoia,-2.7619,-42.2744,81.88,64,99,9.95,BR,2022-08-21 19:12:04
146,Andenes,69.3143,16.1194,57.18,94,40,3.44,NO,2022-08-21 19:12:04
147,Katsuura,35.1333,140.3,75.6,93,26,12.64,JP,2022-08-21 19:12:05
148,Port Elizabeth,-33.918,25.5701,53.31,89,0,4.0,ZA,2022-08-21 19:12:05
149,Bilibino,68.0546,166.4372,52.5,75,60,3.11,RU,2022-08-21 19:12:06
150,Longyearbyen,78.2186,15.6401,42.64,81,40,4.61,SJ,2022-08-21 19:12:06
151,Burriana,39.889,-0.085,85.95,67,96,2.89,ES,2022-08-21 19:12:06
152,Lavrentiya,65.5833,-171.0,42.46,73,0,8.43,RU,2022-08-21 19:12:07
153,Deputatskiy,69.3,139.9,44.33,90,89,1.07,RU,2022-08-21 19:12:07
154,Hovd,48.0056,91.6419,48.33,45,3,1.9,MN,2022-08-21 19:12:08
155,Georgetown,5.4112,100.3354,78.89,85,20,2.3,MY,2022-08-21 19:12:08
156,Khasan,42.4308,130.6434,66.78,95,98,4.34,RU,2022-08-21 19:12:09
157,Listvyanka,51.8535,104.8693,50.25,88,95,6.87,RU,2022-08-21 19:12:09
158,Zirgan,53.2222,55.9185,63.55,73,17,3.47,RU,2022-08-21 19:12:10
159,Olafsvik,64.8945,-23.7142,47.73,57,100,7.23,IS,2022-08-21 19:12:10
160,Andros Town,24.7,-77.7667,89.56,67,5,15.59,BS,2022-08-21 19:12:10
161,Hasaki,35.7333,140.8333,75.29,93,58,15.35,JP,2022-08-21 19:12:11
162,Eyl,7.9803,49.8164,76.71,80,6,25.61,SO,2022-08-21 19:12:11
163,Pangnirtung,66.1451,-65.7125,49.3,83,100,5.64,CA,2022-08-21 19:12:12
164,Nuuk,64.1835,-51.7216,47.01,76,20,6.91,GL,2022-08-21 19:12:12
165,Lompoc,34.6391,-120.4579,83.01,83,100,9.22,US,2022-08-21 19:12:13
166,Isla Mujeres,21.2311,-86.731,89.65,67,10,7.94,MX,2022-08-21 19:12:13
167,Ribeira Grande,38.5167,-28.7,75.6,73,75,3.44,PT,2022-08-21 19:12:13
168,Saint-Joseph,-21.3667,55.6167,68.38,71,2,5.99,RE,2022-08-21 19:12:14
169,Impfondo,1.6381,18.0667,72.73,92,100,0.58,CG,2022-08-21 19:12:14
170,Chuy,-33.6971,-53.4616,57.33,59,98,3.4,UY,2022-08-21 19:12:15
171,Cabo San Lucas,22.8909,-109.9124,92.5,63,20,5.75,MX,2022-08-21 19:10:03
172,Naze,28.3667,129.4833,80.19,87,64,13.42,JP,2022-08-21 19:12:16
173,Saldanha,-33.0117,17.9442,54.48,80,0,12.5,ZA,2022-08-21 19:12:16
174,Talnakh,69.4865,88.3972,40.21,82,67,8.39,RU,2022-08-21 19:12:17
175,Brae,60.3964,-1.353,52.86,83,5,15.21,GB,2022-08-21 19:12:17
176,Meulaboh,4.1363,96.1285,76.06,88,100,2.98,ID,2022-08-21 19:12:17
177,Luderitz,-26.6481,15.1594,59.92,62,2,10.29,NA,2022-08-21 19:12:18
178,Glendive,47.1053,-104.7125,91.18,32,0,6.91,US,2022-08-21 19:12:18
179,Emerald,-23.5333,148.1667,51.67,77,0,7.05,AU,2022-08-21 19:12:19
180,Karratha,-20.7377,116.8463,68.83,35,3,8.12,AU,2022-08-21 19:12:19
181,Alta Floresta,-9.8756,-56.0861,97.02,16,11,6.82,BR,2022-08-21 19:12:19
182,Kirando,-7.4167,30.6,78.24,55,80,5.97,TZ,2022-08-21 19:12:20
183,Fez,34.0372,-4.9998,98.85,9,0,9.22,MA,2022-08-21 19:12:20
184,Birao,10.2849,22.7882,71.89,94,53,5.08,CF,2022-08-21 19:12:21
185,Faanui,-16.4833,-151.75,78.33,72,51,19.28,PF,2022-08-21 19:13:21
186,Gorontalo,0.5412,123.0595,73.58,91,71,1.86,ID,2022-08-21 19:13:21
187,Bluff,-46.6,168.3333,48.79,61,95,10.25,NZ,2022-08-21 19:13:22
188,Two Hills,53.7169,-111.7518,76.77,49,99,11.27,CA,2022-08-21 19:13:22
189,Seoul,37.5683,126.9778,78.24,83,2,2.66,KR,2022-08-21 19:08:43
190,Christchurch,-43.5333,172.6333,46.9,92,100,1.14,NZ,2022-08-21 19:13:23
191,Yining,29.0361,114.5636,79.38,69,100,2.71,CN,2022-08-21 19:13:23
192,Launceston,-41.45,147.1667,51.8,92,100,24.16,AU,2022-08-21 19:13:24
193,Narsaq,60.9167,-46.05,53.82,47,14,0.49,GL,2022-08-21 19:13:24
194,Vardo,70.3705,31.1107,66.18,63,0,17.27,NO,2022-08-21 19:13:24
195,Muros,42.7762,-9.0603,79.68,82,22,11.99,ES,2022-08-21 19:13:25
196,Borovsk,55.2064,36.4861,68.76,37,100,9.69,RU,2022-08-21 19:13:25
197,Ucluelet,48.9329,-125.5528,65.08,86,100,6.44,CA,2022-08-21 19:13:26
198,Guaruja,-23.9931,-46.2564,69.84,64,100,7.0,BR,2022-08-21 19:13:26
199,Shelburne,44.0787,-80.2041,72.75,93,100,5.64,CA,2022-08-21 19:13:27
200,Saskylakh,71.9167,114.0833,34.48,94,99,5.5,RU,2022-08-21 19:13:27
201,Wuwei,37.9281,102.6414,64.58,66,100,2.04,CN,2022-08-21 19:13:28
202,Urengoy,65.9667,78.3667,44.96,73,97,4.05,RU,2022-08-21 19:13:28
203,Sao Felix Do Xingu,-6.6447,-51.995,96.73,17,100,5.91,BR,2022-08-21 19:11:25
204,Shubarkuduk,49.1447,56.4872,70.41,30,7,10.04,KZ,2022-08-21 19:13:29
