City_ID,City,Country,Max Temp,Wind Speed,Lat,Lng,Hotel Name
224,Romny,UA,66.74,10.8,50.751,33.4747,Floriana
227,Nyaunglebin,MM,75.33,4.43,17.95,96.7333,Thi ha
230,Kirakira,SB,77.49,9.89,-10.4544,161.9205,SanBiz Lodge
234,Souillac,MU,66.58,4.61,-20.5167,57.5167,Shanti Maurice Resort & Spa
235,Metro,ID,73.62,2.46,-5.1131,105.3067,OYO 3177 Wisma Lintang
236,Moose Factory,CA,69.8,5.75,51.2585,-80.6094,Moosonee Lilypad
239,Matara,LK,77.49,12.12,5.9485,80.5353,Amaloh Boutique Resort
240,Slatinany,CZ,67.59,6.91,49.9211,15.8138,Apartmány Štěpánkova 85
241,Moron,AR,65.8,1.99,-34.6534,-58.6198,Hotel Morón
245,Bereda,ES,73.42,4.65,43.2686,-7.5406,Pazo de Verdes
249,Meadow Lake,US,80.06,5.08,34.8014,-106.5436,TumbleWeed RV Park
251,Kikwit,CD,80.51,3.67,-5.041,18.8162,HOTEL PLACE YALABA
257,Zvenyhorodka,UA,72.39,7.83,49.0787,30.9675,Hotelʹ Kolos
258,Samarai,PG,78.17,17.07,-10.6167,150.6667,Nuli Sapi
259,Quang Ngai,VN,76.91,4.54,15.1167,108.8,Central Hotel
260,Cap Malheureux,MU,67.46,5.01,-19.9842,57.6142,Pereybere Hotel & Spa
261,Carnarvon,AU,65.16,16.89,-24.8667,113.6333,Hospitality Carnarvon
263,Northam,GB,66.25,2.21,51.0333,-4.2167,Durrant House Hotel
269,Tura,IN,77.05,2.44,25.5198,90.2201,Hotel RIKMAN Continental
271,Finschhafen,PG,77.61,8.81,-6.6024,147.8681,Cossam Guest House
272,Corner Brook,CA,77.16,7.67,48.9667,-57.9484,Glynmill Inn
274,Soyo,AO,70.68,7.85,-6.1349,12.3689,Hospedaria ndozi'ame
277,Itarema,BR,84.65,17.63,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
278,The Pas,CA,75.22,5.75,53.8251,-101.2541,Wescana Inn
281,Arkadak,RU,68.16,9.55,51.9326,43.4978,Khoper
283,Guerrero Negro,MX,77.22,12.86,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
284,Santa Luzia,BR,71.74,8.05,-19.7697,-43.8514,Pousada Chao Earth
285,Verkhneyarkeyevo,RU,67.05,5.57,55.4505,54.3145,Komfort-Plyus
286,Takestan,IR,71.73,9.62,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
288,Los Llanos De Aridane,ES,73.15,16.11,28.6585,-17.9182,Valle Aridane
291,Azare,NG,80.62,4.72,11.6765,10.1948,Mallam Ayuba Compound
296,Kieta,PG,77.07,1.21,-6.2167,155.6333,Uruna Bay Retreat
297,Kalmunai,LK,81.41,4.09,7.4167,81.8167,VS Villa
298,Namibe,AO,65.12,4.23,-15.1961,12.1522,Hotel Chik Chik Namibe
300,Touros,BR,79.86,18.45,-5.1989,-35.4608,INN NEW HORIZON
302,Ferrol,ES,67.26,4.32,43.4832,-8.2369,Hotel Spa Sercotel Odeón
303,Mazara Del Vallo,IT,82.35,11.41,37.6641,12.588,Vizier Resort & Spa
304,Bairiki,KI,80.6,0.0,1.3292,172.9752,Tarawa Boutique Hotel
305,Ewo,CG,77.45,6.67,-0.8725,14.8206,Residence Elonda Ewo
308,Vostochnyy,RU,70.07,8.43,55.8167,37.8667,MarianHall
310,Khaniotis,GR,78.55,5.82,39.9991,23.58,Haris Hotel
311,Samfya,ZM,75.92,8.63,-11.3649,29.5565,Chita Lodge Samfya
312,Cape Coast,GH,74.82,9.62,5.1053,-1.2466,Samrit Hotel
315,Gort,IE,65.95,1.97,53.0664,-8.8167,Lady Gregory Hotel
316,Mizdah,LY,79.5,14.7,31.4451,12.9801,محمدالمبروك الاريقط
318,Salta,AR,70.57,5.75,-24.7859,-65.4117,Hotel Alejandro I
321,Hambantota,LK,78.66,17.76,6.1241,81.1185,Bungalow 63
322,Olivet,FR,72.1,13.8,47.8622,1.8991,Hôtel-Restaurant Le Rivage
323,Cartagena,CO,83.82,5.75,10.3997,-75.5144,Hotel Colombia Real - Cartagena
324,Marawi,PH,68.4,4.41,7.9986,124.2928,Derogongan Residence
325,Makakilo City,US,80.92,13.8,21.3469,-158.0858,Marriott's Ko Olina Beach Club
328,Avdon,RU,65.52,2.24,54.6667,55.7167,"Дом в ""Радуге"""
329,Shancheng,CN,80.24,7.54,34.7953,116.0817,Shanxian Golden Dragon Hotel
330,Langsa,ID,74.5,3.22,4.4683,97.9683,OYO 3328 Hotel Mori
331,Koszeg,HU,66.33,5.01,47.3892,16.541,Alpokalja Panzió Étterem Kft.
332,Lafia,NG,77.56,4.43,8.4833,8.5167,Low Cost Housing Estate
333,Mwene-Ditu,CD,79.36,3.27,-7.0,23.45,African'zuri
338,Pacific Grove,US,68.41,8.99,36.6177,-121.9166,Lovers Point Inn
339,Simao,CN,65.44,1.83,22.7886,100.9748,Changyu Hotel
340,Maun,BW,66.16,9.22,-19.9833,23.4167,Enviro Villa
343,Lufilufi,WS,77.11,4.27,-13.8745,-171.5986,Leuaina Beach Resort and Spa
347,Kitimat,CA,77.92,1.25,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
348,Juba,SS,74.48,2.46,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
349,Mayumba,GA,71.96,6.69,-3.432,10.6554,LIKWALE LODGE
352,Lida,BY,65.17,5.26,53.8833,25.2997,La Zamka
353,Natal,BR,84.42,21.85,-5.795,-35.2094,Villa Park Hotel | Natal
354,Gat,IL,83.39,4.0,31.61,34.7642,OlusHome
358,Ayni,TJ,67.51,2.71,39.3941,68.5377,Dilovars Homestay
359,Montijo,PT,75.11,17.27,38.7067,-8.9739,TRYP by Wyndham Montijo Parque Hotel
361,Catuday,PH,81.0,9.86,16.2923,119.8062,Benjie's Kubo & Cottages
364,Hornepayne,CA,74.59,4.56,49.2138,-84.7705,Kay-Vee Lodge Ltd
366,Ilebo,CD,76.01,0.81,-4.3167,20.5833,Hôtel BUMAK
370,Cobija,BO,84.38,6.91,-11.0267,-68.7692,Hotel Obelisco
372,Bontang,ID,76.68,5.73,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
376,Nchelenge,ZM,77.81,4.18,-9.3451,28.734,KD Travellers Home
377,Kulhudhuffushi,MV,81.36,16.13,6.6221,73.07,Haajy Guest House 1
380,Kardla,EE,69.06,12.64,58.9978,22.7492,Padu hotel
381,Likasi,CD,70.93,4.07,-10.9814,26.7333,TABERNACLE DE LIKASI
382,Pavlohrad,UA,70.83,10.63,48.5167,35.8667,Kompleks Stylʹ
385,Bihar,RO,73.17,5.75,47.15,21.9167,HOTEL USA ONEOIL 3
386,Bremerton,US,81.86,5.75,47.5673,-122.6326,Hampton Inn & Suites Bremerton
387,Harwich,GB,71.98,4.0,51.9419,1.2844,Premier Inn Harwich hotel
392,Mattru,SL,74.53,4.36,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
393,College,US,68.07,0.0,64.8569,-147.8028,Pike's Waterfront Lodge
400,Yatou,CN,71.15,7.96,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
406,Katobu,ID,72.48,3.8,-4.9408,122.5276,La Ode Husein
408,Castres,FR,79.02,11.5,43.5833,2.1667,Le 81 Hôtel
409,Baturaja,ID,72.59,2.44,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
410,Hobyo,SO,76.64,24.63,5.3505,48.5268,Halane Hotel and Restaurent
414,Solwezi,ZM,68.05,4.65,-12.1688,26.3894,Country Lodge Solwezi
418,Atambua,ID,66.38,6.87,-9.1061,124.8925,Kost Alfa Flat
419,Praia Da Vitoria,PT,77.25,2.66,38.7333,-27.0667,Hotel Branco I
420,Cayenne,GF,84.24,2.3,4.9333,-52.3333,Hôtel Le Dronmi
421,Rupnagar,IN,79.3,2.75,30.9664,76.5331,Merriment Nord
422,Lukaya,UG,68.92,1.5,-0.1489,31.8748,lemba salongo
424,Hammerfest,NO,68.45,9.22,70.6634,23.6821,Skytterhuset
426,Sevierville,US,84.49,6.91,35.8681,-83.5618,The Lodge at Five Oaks
428,Salinopolis,BR,83.23,10.89,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
429,Sibu,MY,75.51,1.14,2.3,111.8167,RH HOTEL (4 Star)
431,Tambun,ID,81.48,2.93,-6.2641,107.0712,Metland Hotel Bekasi
433,Maragogi,BR,75.07,12.19,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
436,Morondava,MG,75.69,14.74,-20.2833,44.2833,La Case Bambou
437,Mackenzie,CA,75.42,3.44,55.2999,-123.1698,Hilton Shop
438,Vasarosnameny,HU,70.81,4.12,48.1333,22.3167,Hotel Kovács superior
439,Chemainus,CA,73.99,9.22,48.9163,-123.7194,Fuller Lake Motel
441,Qarqin,AF,78.35,9.95,37.4185,66.0436,Hayetmurad
442,Kailua,US,82.38,13.8,21.4022,-157.7394,Sheffield House Bed & Breakfast
443,Ugoofaaru,MV,82.29,15.66,5.6667,73.0,Ungoofaaru Inn
444,Miri,MY,75.34,3.44,4.4148,114.0089,"Mega Hotel, Miri"
447,Fairbanks,US,67.08,1.01,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
448,Mukdahan,TH,74.46,3.89,16.5833,104.5,Ban Kham Phung
449,Kousseri,CM,75.87,8.32,12.0769,15.0306,Le Pilotis
451,Aubenas,FR,74.16,6.58,44.6201,4.3899,ibis Aubenas
452,Pajapan,MX,82.56,8.37,18.25,-94.7,Hotel Del Carmen
456,Ailigandi,PA,82.99,3.91,9.2333,-78.0167,Akwa Reef Lodge
459,Kalabo,ZM,66.13,7.02,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
462,Sinnar,SD,80.1,7.83,13.5691,33.5672,بساتين سالمة
463,Noumea,NC,72.0,13.06,-22.2763,166.4572,Hôtel Le Lagon
465,Takoradi,GH,76.24,9.08,4.8845,-1.7554,Raybow International Hotel
466,Fuyang,CN,84.45,7.0,32.9,115.8167,Fuyang Wanda Realm Hotel
469,Mitsamiouli,KM,75.69,4.05,-11.3847,43.2844,Foyer ADM
470,Fengcheng,CN,66.81,1.57,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
478,Kloulklubed,PW,82.45,6.29,7.0419,134.2556,Storyboard Beach Resort
482,Abancay,PE,69.73,8.79,-13.6339,-72.8814,Siball Hotel
484,Asfi,MA,77.29,21.23,32.2994,-9.2372,Hôtel Abda
485,Maumere,ID,75.07,7.18,-8.6199,122.2111,Sylvia Hotel
486,Pipar,IN,82.36,9.15,26.3856,73.5378,Aadam Mansion
487,Bridlington,GB,67.89,8.05,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
490,Kribi,CM,76.86,7.07,2.95,9.9167,La Grace Hôtel
491,Ryotsu,JP,75.54,8.03,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
493,Sabang,ID,82.22,16.49,5.8933,95.3214,Hotel Citra
495,Vila Franca Do Campo,PT,73.81,1.43,37.7167,-25.4333,Pestana Bahia Praia
496,Gunjur,GM,82.47,9.33,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
497,Tafresh,IR,70.81,8.41,34.692,50.013,هتل یاس سفید
